OutageID,StartTime,DurationMinutes,Feeder,Cause,AffectedCustomers,EndTime
43,2023-01-08 06:00:00,334,Feeder_6,Weather (Heavy Rain),957,2023-01-08 11:34:00
44,2023-01-08 10:00:00,228,Feeder_1,Unknown,341,2023-01-08 13:48:00
45,2023-01-08 18:00:00,292,Feeder_7,Planned Maintenance,280,2023-01-08 22:52:00
46,2023-01-08 19:00:00,176,Feeder_3,Weather (High Wind),1256,2023-01-08 21:56:00
47,2023-01-08 21:00:00,453,Feeder_6,Unknown,313,2023-01-09 04:33:00
48,2023-01-08 22:00:00,171,Feeder_7,Planned Maintenance,392,2023-01-09 00:51:00
49,2023-01-08 23:00:00,436,Feeder_1,Equipment Failure,55,2023-01-09 06:16:00
50,2023-01-09 00:00:00,265,Feeder_1,Overload,335,2023-01-09 04:25:00
51,2023-01-09 01:00:00,380,Feeder_5,Unknown,16,2023-01-09 07:20:00
52,2023-01-09 03:00:00,111,Feeder_6,Tree Contact,241,2023-01-09 04:51:00
53,2023-01-09 05:00:00,32,Feeder_9,Equipment Failure,208,2023-01-09 05:32:00
54,2023-01-09 06:00:00,341,Feeder_1,Tree Contact,103,2023-01-09 11:41:00
55,2023-01-09 09:00:00,463,Feeder_4,Weather (High Wind),559,2023-01-09 16:43:00
56,2023-01-09 10:00:00,397,Feeder_10,Unknown,97,2023-01-09 16:37:00
57,2023-01-09 11:00:00,111,Feeder_8,Overload,598,2023-01-09 12:51:00
58,2023-01-09 12:00:00,15,Feeder_10,Weather (Heavy Rain),940,2023-01-09 12:15:00
59,2023-01-09 12:00:00,230,Feeder_9,Unknown,252,2023-01-09 15:50:00
60,2023-01-09 14:00:00,146,Feeder_3,Tree Contact,77,2023-01-09 16:26:00
61,2023-01-09 15:00:00,274,Feeder_2,Equipment Failure,320,2023-01-09 19:34:00
62,2023-01-09 15:00:00,139,Feeder_4,Unknown,460,2023-01-09 17:19:00
63,2023-01-09 21:00:00,96,Feeder_2,Tree Contact,442,2023-01-09 22:36:00
64,2023-01-09 23:00:00,297,Feeder_1,Weather (Heavy Rain),861,2023-01-10 03:57:00
65,2023-01-10 04:00:00,185,Feeder_3,Weather (High Wind),639,2023-01-10 07:05:00
66,2023-01-10 10:00:00,73,Feeder_7,Equipment Failure,196,2023-01-10 11:13:00
67,2023-01-10 10:00:00,46,Feeder_1,Unknown,248,2023-01-10 10:46:00
68,2023-01-10 18:00:00,175,Feeder_2,Tree Contact,399,2023-01-10 20:55:00
69,2023-01-10 18:00:00,298,Feeder_1,Tree Contact,227,2023-01-10 22:58:00
70,2023-01-10 19:00:00,120,Feeder_8,Equipment Failure,117,2023-01-10 21:00:00
71,2023-01-10 20:00:00,119,Feeder_5,Tree Contact,316,2023-01-10 21:59:00
72,2023-01-10 22:00:00,453,Feeder_8,Unknown,47,2023-01-11 05:33:00
73,2023-01-11 04:00:00,242,Feeder_3,Planned Maintenance,404,2023-01-11 08:02:00
74,2023-01-11 09:00:00,202,Feeder_7,Unknown,445,2023-01-11 12:22:00
75,2023-01-11 18:00:00,84,Feeder_8,Tree Contact,358,2023-01-11 19:24:00
76,2023-01-11 22:00:00,332,Feeder_6,Planned Maintenance,285,2023-01-12 03:32:00
77,2023-01-12 05:00:00,478,Feeder_7,Weather (Heavy Rain),703,2023-01-12 12:58:00
78,2023-01-12 07:00:00,304,Feeder_2,Unknown,35,2023-01-12 12:04:00
79,2023-01-12 08:00:00,101,Feeder_8,Planned Maintenance,57,2023-01-12 09:41:00
80,2023-01-12 12:00:00,384,Feeder_5,Tree Contact,356,2023-01-12 18:24:00
81,2023-01-12 13:00:00,376,Feeder_7,Overload,902,2023-01-12 19:16:00
82,2023-01-12 17:00:00,70,Feeder_1,Overload,546,2023-01-12 18:10:00
83,2023-01-12 18:00:00,127,Feeder_5,Weather (Heavy Rain),831,2023-01-12 20:07:00
84,2023-01-12 23:00:00,27,Feeder_1,Unknown,196,2023-01-12 23:27:00
85,2023-01-13 06:00:00,454,Feeder_8,Overload,258,2023-01-13 13:34:00
86,2023-01-13 09:00:00,32,Feeder_4,Equipment Failure,381,2023-01-13 09:32:00
87,2023-01-13 10:00:00,196,Feeder_4,Equipment Failure,388,2023-01-13 13:16:00
88,2023-01-13 13:00:00,475,Feeder_2,Planned Maintenance,288,2023-01-13 20:55:00
89,2023-01-13 13:00:00,127,Feeder_5,Tree Contact,350,2023-01-13 15:07:00
90,2023-01-13 14:00:00,243,Feeder_1,Overload,977,2023-01-13 18:03:00
91,2023-01-13 14:00:00,185,Feeder_9,Tree Contact,176,2023-01-13 17:05:00
92,2023-01-13 17:00:00,309,Feeder_5,Weather (High Wind),1497,2023-01-13 22:09:00
93,2023-01-13 19:00:00,203,Feeder_6,Weather (Heavy Rain),1094,2023-01-13 22:23:00
94,2023-01-13 22:00:00,440,Feeder_2,Planned Maintenance,481,2023-01-14 05:20:00
95,2023-01-14 02:00:00,479,Feeder_10,Overload,718,2023-01-14 09:59:00
96,2023-01-14 08:00:00,93,Feeder_10,Tree Contact,34,2023-01-14 09:33:00
97,2023-01-15 00:00:00,160,Feeder_1,Equipment Failure,26,2023-01-15 02:40:00
98,2023-01-15 02:00:00,421,Feeder_4,Equipment Failure,435,2023-01-15 09:01:00
99,2023-01-15 04:00:00,196,Feeder_7,Tree Contact,38,2023-01-15 07:16:00
100,2023-01-15 06:00:00,300,Feeder_6,Overload,913,2023-01-15 11:00:00
101,2023-01-15 16:00:00,264,Feeder_10,Weather (High Wind),1483,2023-01-15 20:24:00
102,2023-01-15 22:00:00,368,Feeder_1,Equipment Failure,350,2023-01-16 04:08:00
103,2023-01-16 02:00:00,328,Feeder_1,Equipment Failure,322,2023-01-16 07:28:00
104,2023-01-16 04:00:00,210,Feeder_8,Unknown,81,2023-01-16 07:30:00
105,2023-01-16 05:00:00,337,Feeder_4,Weather (Heavy Rain),1333,2023-01-16 10:37:00
106,2023-01-16 11:00:00,85,Feeder_5,Planned Maintenance,259,2023-01-16 12:25:00
107,2023-01-16 14:00:00,262,Feeder_7,Unknown,304,2023-01-16 18:22:00
108,2023-01-16 15:00:00,160,Feeder_8,Tree Contact,153,2023-01-16 17:40:00
109,2023-01-17 00:00:00,120,Feeder_10,Planned Maintenance,283,2023-01-17 02:00:00
110,2023-01-17 02:00:00,277,Feeder_7,Weather (Heavy Rain),893,2023-01-17 06:37:00
111,2023-01-17 05:00:00,310,Feeder_2,Overload,436,2023-01-17 10:10:00
112,2023-01-17 06:00:00,84,Feeder_4,Overload,979,2023-01-17 07:24:00
113,2023-01-17 07:00:00,207,Feeder_10,Tree Contact,29,2023-01-17 10:27:00
114,2023-01-17 08:00:00,82,Feeder_1,Overload,278,2023-01-17 09:22:00
115,2023-01-17 08:00:00,319,Feeder_10,Overload,757,2023-01-17 13:19:00
116,2023-01-17 20:00:00,66,Feeder_9,Overload,954,2023-01-17 21:06:00
117,2023-01-17 22:00:00,384,Feeder_3,Equipment Failure,182,2023-01-18 04:24:00
118,2023-01-17 22:00:00,377,Feeder_3,Equipment Failure,13,2023-01-18 04:17:00
119,2023-01-17 22:00:00,299,Feeder_10,Equipment Failure,349,2023-01-18 02:59:00
120,2023-01-18 04:00:00,419,Feeder_9,Equipment Failure,488,2023-01-18 10:59:00
121,2023-01-18 09:00:00,348,Feeder_10,Overload,999,2023-01-18 14:48:00
122,2023-01-18 11:00:00,23,Feeder_3,Weather (Heavy Rain),916,2023-01-18 11:23:00
123,2023-01-18 11:00:00,265,Feeder_8,Equipment Failure,123,2023-01-18 15:25:00
124,2023-01-18 13:00:00,445,Feeder_2,Unknown,330,2023-01-18 20:25:00
125,2023-01-19 04:00:00,346,Feeder_3,Unknown,411,2023-01-19 09:46:00
126,2023-01-19 09:00:00,312,Feeder_2,Weather (Heavy Rain),951,2023-01-19 14:12:00
127,2023-01-19 10:00:00,449,Feeder_1,Planned Maintenance,309,2023-01-19 17:29:00
128,2023-01-19 14:00:00,198,Feeder_2,Tree Contact,490,2023-01-19 17:18:00
129,2023-01-19 14:00:00,193,Feeder_8,Equipment Failure,127,2023-01-19 17:13:00
130,2023-01-20 02:00:00,212,Feeder_9,Unknown,109,2023-01-20 05:32:00
131,2023-01-20 07:00:00,142,Feeder_2,Equipment Failure,283,2023-01-20 09:22:00
132,2023-01-20 19:00:00,34,Feeder_7,Unknown,184,2023-01-20 19:34:00
133,2023-01-21 01:00:00,425,Feeder_5,Weather (Heavy Rain),1013,2023-01-21 08:05:00
134,2023-01-21 08:00:00,436,Feeder_3,Overload,871,2023-01-21 15:16:00
135,2023-01-21 09:00:00,342,Feeder_9,Tree Contact,236,2023-01-21 14:42:00
136,2023-01-21 10:00:00,79,Feeder_6,Weather (Heavy Rain),643,2023-01-21 11:19:00
137,2023-01-21 12:00:00,196,Feeder_1,Equipment Failure,47,2023-01-21 15:16:00
138,2023-01-21 22:00:00,255,Feeder_5,Tree Contact,472,2023-01-22 02:15:00
139,2023-01-22 00:00:00,383,Feeder_7,Planned Maintenance,440,2023-01-22 06:23:00
140,2023-01-22 00:00:00,38,Feeder_4,Weather (Heavy Rain),345,2023-01-22 00:38:00
141,2023-01-22 03:00:00,398,Feeder_8,Overload,314,2023-01-22 09:38:00
142,2023-01-22 04:00:00,445,Feeder_10,Overload,661,2023-01-22 11:25:00
143,2023-01-22 10:00:00,469,Feeder_5,Unknown,479,2023-01-22 17:49:00
144,2023-01-22 11:00:00,97,Feeder_9,Weather (Heavy Rain),1203,2023-01-22 12:37:00
145,2023-01-22 18:00:00,333,Feeder_9,Weather (Heavy Rain),354,2023-01-22 23:33:00
146,2023-01-22 21:00:00,199,Feeder_9,Unknown,22,2023-01-23 00:19:00
147,2023-01-22 22:00:00,453,Feeder_1,Overload,825,2023-01-23 05:33:00
148,2023-01-23 01:00:00,330,Feeder_2,Tree Contact,353,2023-01-23 06:30:00
149,2023-01-23 11:00:00,113,Feeder_3,Unknown,94,2023-01-23 12:53:00
150,2023-01-23 13:00:00,76,Feeder_4,Planned Maintenance,118,2023-01-23 14:16:00
151,2023-01-23 17:00:00,300,Feeder_10,Overload,325,2023-01-23 22:00:00
152,2023-01-24 00:00:00,36,Feeder_9,Equipment Failure,397,2023-01-24 00:36:00
153,2023-01-24 05:00:00,473,Feeder_10,Planned Maintenance,80,2023-01-24 12:53:00
154,2023-01-24 08:00:00,226,Feeder_6,Overload,801,2023-01-24 11:46:00
155,2023-01-24 17:00:00,140,Feeder_1,Unknown,277,2023-01-24 19:20:00
156,2023-01-24 18:00:00,427,Feeder_9,Equipment Failure,68,2023-01-25 01:07:00
157,2023-01-24 19:00:00,439,Feeder_6,Overload,772,2023-01-25 02:19:00
158,2023-01-24 20:00:00,56,Feeder_4,Equipment Failure,447,2023-01-24 20:56:00
159,2023-01-24 20:00:00,112,Feeder_4,Planned Maintenance,53,2023-01-24 21:52:00
160,2023-01-25 11:00:00,463,Feeder_3,Unknown,281,2023-01-25 18:43:00
161,2023-01-25 13:00:00,45,Feeder_7,Weather (High Wind),1401,2023-01-25 13:45:00
162,2023-01-25 17:00:00,172,Feeder_3,Unknown,23,2023-01-25 19:52:00
163,2023-01-25 21:00:00,126,Feeder_2,Equipment Failure,380,2023-01-25 23:06:00
164,2023-01-25 23:00:00,416,Feeder_10,Equipment Failure,121,2023-01-26 05:56:00
165,2023-01-26 09:00:00,261,Feeder_8,Unknown,388,2023-01-26 13:21:00
166,2023-01-26 12:00:00,136,Feeder_4,Unknown,323,2023-01-26 14:16:00
167,2023-01-26 14:00:00,287,Feeder_8,Unknown,424,2023-01-26 18:47:00
168,2023-01-26 15:00:00,308,Feeder_1,Planned Maintenance,237,2023-01-26 20:08:00
169,2023-01-26 19:00:00,412,Feeder_5,Tree Contact,494,2023-01-27 01:52:00
170,2023-01-26 19:00:00,221,Feeder_9,Overload,699,2023-01-26 22:41:00
171,2023-01-27 03:00:00,124,Feeder_1,Unknown,385,2023-01-27 05:04:00
172,2023-01-27 04:00:00,454,Feeder_4,Overload,301,2023-01-27 11:34:00
173,2023-01-27 05:00:00,292,Feeder_6,Tree Contact,255,2023-01-27 09:52:00
174,2023-01-27 06:00:00,465,Feeder_10,Weather (High Wind),1155,2023-01-27 13:45:00
175,2023-01-27 08:00:00,70,Feeder_8,Overload,825,2023-01-27 09:10:00
176,2023-01-27 10:00:00,389,Feeder_3,Unknown,252,2023-01-27 16:29:00
177,2023-01-27 21:00:00,417,Feeder_5,Equipment Failure,499,2023-01-28 03:57:00
178,2023-01-28 02:00:00,71,Feeder_7,Planned Maintenance,167,2023-01-28 03:11:00
179,2023-01-28 13:00:00,442,Feeder_1,Weather (High Wind),959,2023-01-28 20:22:00
180,2023-01-28 13:00:00,305,Feeder_7,Weather (Heavy Rain),410,2023-01-28 18:05:00
181,2023-01-28 13:00:00,128,Feeder_8,Tree Contact,336,2023-01-28 15:08:00
182,2023-01-28 15:00:00,395,Feeder_8,Overload,373,2023-01-28 21:35:00
183,2023-01-28 18:00:00,399,Feeder_9,Tree Contact,92,2023-01-29 00:39:00
184,2023-01-28 19:00:00,322,Feeder_6,Tree Contact,344,2023-01-29 00:22:00
185,2023-01-28 22:00:00,355,Feeder_6,Weather (Heavy Rain),1338,2023-01-29 03:55:00
186,2023-01-28 23:00:00,212,Feeder_2,Overload,651,2023-01-29 02:32:00
187,2023-01-29 08:00:00,435,Feeder_3,Equipment Failure,262,2023-01-29 15:15:00
188,2023-01-29 13:00:00,335,Feeder_4,Equipment Failure,176,2023-01-29 18:35:00
189,2023-01-29 15:00:00,193,Feeder_4,Weather (High Wind),377,2023-01-29 18:13:00
190,2023-01-29 17:00:00,399,Feeder_8,Equipment Failure,258,2023-01-29 23:39:00
191,2023-01-29 18:00:00,233,Feeder_1,Unknown,257,2023-01-29 21:53:00
192,2023-01-29 19:00:00,291,Feeder_10,Weather (High Wind),800,2023-01-29 23:51:00
193,2023-01-29 20:00:00,451,Feeder_4,Planned Maintenance,389,2023-01-30 03:31:00
194,2023-01-30 02:00:00,30,Feeder_4,Unknown,295,2023-01-30 02:30:00
195,2023-01-30 03:00:00,393,Feeder_1,Equipment Failure,29,2023-01-30 09:33:00
196,2023-01-30 03:00:00,75,Feeder_3,Unknown,391,2023-01-30 04:15:00
197,2023-01-30 21:00:00,68,Feeder_5,Weather (Heavy Rain),887,2023-01-30 22:08:00
198,2023-01-30 21:00:00,182,Feeder_6,Unknown,390,2023-01-31 00:02:00
199,2023-01-30 23:00:00,40,Feeder_9,Unknown,51,2023-01-30 23:40:00
200,2023-01-30 23:00:00,350,Feeder_9,Equipment Failure,354,2023-01-31 04:50:00
201,2023-01-31 01:00:00,79,Feeder_9,Tree Contact,96,2023-01-31 02:19:00
202,2023-01-31 06:00:00,114,Feeder_1,Weather (Heavy Rain),717,2023-01-31 07:54:00
203,2023-01-31 06:00:00,88,Feeder_9,Weather (High Wind),574,2023-01-31 07:28:00
204,2023-01-31 08:00:00,206,Feeder_8,Overload,291,2023-01-31 11:26:00
205,2023-01-31 08:00:00,185,Feeder_2,Overload,894,2023-01-31 11:05:00
206,2023-01-31 11:00:00,287,Feeder_1,Tree Contact,249,2023-01-31 15:47:00
207,2023-02-01 23:00:00,391,Feeder_1,Weather (Heavy Rain),1386,2023-02-02 05:31:00
208,2023-02-02 00:00:00,201,Feeder_6,Unknown,322,2023-02-02 03:21:00
209,2023-02-02 01:00:00,37,Feeder_9,Planned Maintenance,228,2023-02-02 01:37:00
210,2023-02-02 01:00:00,405,Feeder_7,Tree Contact,450,2023-02-02 07:45:00
211,2023-02-02 03:00:00,442,Feeder_5,Equipment Failure,499,2023-02-02 10:22:00
212,2023-02-02 10:00:00,195,Feeder_2,Equipment Failure,430,2023-02-02 13:15:00
213,2023-02-02 12:00:00,341,Feeder_1,Tree Contact,400,2023-02-02 17:41:00
214,2023-02-02 13:00:00,122,Feeder_2,Unknown,142,2023-02-02 15:02:00
215,2023-02-02 16:00:00,349,Feeder_1,Tree Contact,216,2023-02-02 21:49:00
216,2023-02-02 17:00:00,176,Feeder_3,Weather (Heavy Rain),1272,2023-02-02 19:56:00
217,2023-02-02 19:00:00,316,Feeder_6,Unknown,115,2023-02-03 00:16:00
218,2023-02-03 01:00:00,466,Feeder_8,Unknown,401,2023-02-03 08:46:00
219,2023-02-03 06:00:00,220,Feeder_3,Overload,584,2023-02-03 09:40:00
220,2023-02-03 12:00:00,92,Feeder_10,Equipment Failure,210,2023-02-03 13:32:00
221,2023-02-03 14:00:00,30,Feeder_9,Overload,404,2023-02-03 14:30:00
222,2023-02-03 15:00:00,341,Feeder_10,Weather (High Wind),1290,2023-02-03 20:41:00
223,2023-02-03 16:00:00,110,Feeder_5,Unknown,159,2023-02-03 17:50:00
224,2023-02-03 22:00:00,161,Feeder_7,Equipment Failure,363,2023-02-04 00:41:00
225,2023-02-04 00:00:00,16,Feeder_8,Equipment Failure,364,2023-02-04 00:16:00
226,2023-02-04 06:00:00,24,Feeder_3,Unknown,470,2023-02-04 06:24:00
227,2023-02-04 07:00:00,448,Feeder_2,Planned Maintenance,404,2023-02-04 14:28:00
228,2023-02-04 11:00:00,139,Feeder_2,Unknown,453,2023-02-04 13:19:00
229,2023-02-04 14:00:00,95,Feeder_5,Tree Contact,105,2023-02-04 15:35:00
230,2023-02-05 05:00:00,154,Feeder_1,Tree Contact,115,2023-02-05 07:34:00
231,2023-02-05 06:00:00,340,Feeder_2,Equipment Failure,152,2023-02-05 11:40:00
232,2023-02-05 11:00:00,164,Feeder_9,Equipment Failure,175,2023-02-05 13:44:00
233,2023-02-05 13:00:00,302,Feeder_7,Weather (Heavy Rain),1433,2023-02-05 18:02:00
234,2023-02-05 14:00:00,375,Feeder_6,Tree Contact,55,2023-02-05 20:15:00
235,2023-02-05 15:00:00,354,Feeder_9,Equipment Failure,251,2023-02-05 20:54:00
236,2023-02-05 17:00:00,143,Feeder_7,Unknown,353,2023-02-05 19:23:00
237,2023-02-05 19:00:00,452,Feeder_5,Equipment Failure,436,2023-02-06 02:32:00
238,2023-02-05 20:00:00,253,Feeder_9,Planned Maintenance,497,2023-02-06 00:13:00
239,2023-02-05 21:00:00,72,Feeder_6,Overload,562,2023-02-05 22:12:00
240,2023-02-06 00:00:00,212,Feeder_6,Unknown,12,2023-02-06 03:32:00
241,2023-02-06 05:00:00,225,Feeder_4,Equipment Failure,151,2023-02-06 08:45:00
242,2023-02-06 06:00:00,416,Feeder_1,Planned Maintenance,395,2023-02-06 12:56:00
243,2023-02-06 12:00:00,404,Feeder_5,Equipment Failure,70,2023-02-06 18:44:00
244,2023-02-06 18:00:00,59,Feeder_9,Tree Contact,425,2023-02-06 18:59:00
245,2023-02-06 18:00:00,111,Feeder_8,Planned Maintenance,303,2023-02-06 19:51:00
246,2023-02-06 22:00:00,293,Feeder_8,Equipment Failure,234,2023-02-07 02:53:00
247,2023-02-06 23:00:00,37,Feeder_5,Overload,906,2023-02-06 23:37:00
248,2023-02-07 04:00:00,424,Feeder_9,Unknown,179,2023-02-07 11:04:00
249,2023-02-07 05:00:00,475,Feeder_3,Unknown,143,2023-02-07 12:55:00
250,2023-02-07 06:00:00,405,Feeder_3,Equipment Failure,50,2023-02-07 12:45:00
251,2023-02-07 09:00:00,349,Feeder_1,Equipment Failure,240,2023-02-07 14:49:00
252,2023-02-07 11:00:00,58,Feeder_9,Equipment Failure,418,2023-02-07 11:58:00
253,2023-02-07 13:00:00,41,Feeder_6,Equipment Failure,235,2023-02-07 13:41:00
254,2023-02-07 16:00:00,296,Feeder_2,Unknown,148,2023-02-07 20:56:00
255,2023-02-07 22:00:00,111,Feeder_8,Weather (Heavy Rain),493,2023-02-07 23:51:00
256,2023-02-08 05:00:00,477,Feeder_9,Tree Contact,494,2023-02-08 12:57:00
257,2023-02-08 07:00:00,50,Feeder_9,Unknown,306,2023-02-08 07:50:00
258,2023-02-08 10:00:00,123,Feeder_2,Weather (Heavy Rain),1154,2023-02-08 12:03:00
259,2023-02-08 10:00:00,69,Feeder_2,Weather (High Wind),1098,2023-02-08 11:09:00
260,2023-02-08 11:00:00,206,Feeder_7,Overload,697,2023-02-08 14:26:00
261,2023-02-08 11:00:00,233,Feeder_4,Tree Contact,132,2023-02-08 14:53:00
262,2023-02-08 12:00:00,199,Feeder_1,Weather (Heavy Rain),600,2023-02-08 15:19:00
263,2023-02-08 17:00:00,83,Feeder_8,Equipment Failure,95,2023-02-08 18:23:00
264,2023-02-08 19:00:00,331,Feeder_2,Overload,736,2023-02-09 00:31:00
265,2023-02-08 23:00:00,144,Feeder_3,Equipment Failure,72,2023-02-09 01:24:00
266,2023-02-08 23:00:00,69,Feeder_5,Equipment Failure,48,2023-02-09 00:09:00
267,2023-02-09 05:00:00,392,Feeder_3,Weather (Heavy Rain),1267,2023-02-09 11:32:00
268,2023-02-09 10:00:00,111,Feeder_7,Weather (Heavy Rain),867,2023-02-09 11:51:00
269,2023-02-09 15:00:00,350,Feeder_7,Tree Contact,463,2023-02-09 20:50:00
270,2023-02-09 18:00:00,101,Feeder_2,Overload,433,2023-02-09 19:41:00
271,2023-02-09 19:00:00,308,Feeder_7,Weather (High Wind),971,2023-02-10 00:08:00
272,2023-02-09 20:00:00,133,Feeder_6,Equipment Failure,235,2023-02-09 22:13:00
273,2023-02-09 20:00:00,222,Feeder_10,Weather (Heavy Rain),448,2023-02-09 23:42:00
274,2023-02-10 08:00:00,348,Feeder_9,Planned Maintenance,215,2023-02-10 13:48:00
275,2023-02-10 14:00:00,427,Feeder_9,Equipment Failure,173,2023-02-10 21:07:00
276,2023-02-10 23:00:00,168,Feeder_2,Planned Maintenance,36,2023-02-11 01:48:00
277,2023-02-11 03:00:00,49,Feeder_7,Planned Maintenance,466,2023-02-11 03:49:00
278,2023-02-11 03:00:00,93,Feeder_5,Equipment Failure,192,2023-02-11 04:33:00
279,2023-02-11 04:00:00,81,Feeder_6,Equipment Failure,207,2023-02-11 05:21:00
280,2023-02-11 11:00:00,357,Feeder_1,Unknown,488,2023-02-11 16:57:00
281,2023-02-11 15:00:00,427,Feeder_7,Equipment Failure,346,2023-02-11 22:07:00
282,2023-02-11 16:00:00,48,Feeder_6,Unknown,446,2023-02-11 16:48:00
283,2023-02-11 17:00:00,111,Feeder_4,Weather (Heavy Rain),1068,2023-02-11 18:51:00
284,2023-02-11 17:00:00,183,Feeder_1,Overload,215,2023-02-11 20:03:00
285,2023-02-11 23:00:00,183,Feeder_9,Equipment Failure,198,2023-02-12 02:03:00
286,2023-02-12 00:00:00,165,Feeder_4,Tree Contact,45,2023-02-12 02:45:00
287,2023-02-12 05:00:00,85,Feeder_2,Tree Contact,94,2023-02-12 06:25:00
288,2023-02-12 06:00:00,17,Feeder_8,Weather (High Wind),438,2023-02-12 06:17:00
289,2023-02-12 07:00:00,328,Feeder_2,Unknown,178,2023-02-12 12:28:00
290,2023-02-12 07:00:00,46,Feeder_5,Unknown,293,2023-02-12 07:46:00
291,2023-02-12 07:00:00,301,Feeder_6,Overload,340,2023-02-12 12:01:00
292,2023-02-12 08:00:00,96,Feeder_8,Unknown,44,2023-02-12 09:36:00
293,2023-02-12 11:00:00,57,Feeder_1,Unknown,429,2023-02-12 11:57:00
294,2023-02-12 13:00:00,405,Feeder_1,Unknown,193,2023-02-12 19:45:00
295,2023-02-12 22:00:00,119,Feeder_4,Tree Contact,108,2023-02-12 23:59:00
296,2023-02-13 16:00:00,15,Feeder_5,Planned Maintenance,246,2023-02-13 16:15:00
297,2023-02-13 19:00:00,75,Feeder_9,Weather (Heavy Rain),1160,2023-02-13 20:15:00
298,2023-02-14 02:00:00,284,Feeder_7,Overload,819,2023-02-14 06:44:00
299,2023-02-14 03:00:00,194,Feeder_7,Unknown,478,2023-02-14 06:14:00
300,2023-02-14 04:00:00,238,Feeder_8,Equipment Failure,131,2023-02-14 07:58:00
